Company Code 1710                                                                      G/L Account Balances                                                                     Time 17:35:48     Date  07/27/2024
Palo Alto          Ledger 0L                                                                                                                                                    RFSSLD00/KF654    Page           1
Carryforward Periods 00-00 2022 Reporting Periods 01-04 2022

		CoCd	G/L acct	Short Text	Crcy	BusA	           Balance Carryforward	       Balance of Prior Periods	 Debit Blnce of Reportng Period	  Credit Balance Reporting Per.	            Accumulated Balance
		1710	16020000	Low Value Assets	USD		                        100.00	                          0.00	                          0.00	                          0.00	                        100.00

		1710	16054000	Motor Vehicles (ROU)	USD		                    224,653.87	                          0.00	                          0.00	                          0.00	                    224,653.87

		1710	16056000	Furni. Fixt.(ROU)	USD		                    368,101.84	                          0.00	                          0.00	                          0.00	                    368,101.84

		1710	16059000	Leasing Clear. (ROU)	USD		                    539,723.93	                          0.00	                          0.00	                          0.00	                    539,723.93

		1710	17001000	Acc.Depr'n Building	USD		-875.00	                          0.00	                          0.00	                         50.00	-925.00

		1710	17002000	Acc.Depr'n Mch & Equ	USD		-3,965.00	                          0.00	                          0.00	                        366.00	-4,331.00

		1710	17004000	#### - ####	USD		-23,083.48	                          0.00	                          0.00	                      1,759.00	-24,842.48

		1710	17005000	Acc.Depr'n Off Equip	USD		-9.00	                          0.00	                          0.00	                         34.00	-43.00

		1710	17006000	Acc.Depr'n Furn&Fixt	USD		-544.00	                          0.00	                          0.00	                         37.00	-581.00

		1710	17007000	Acc.Depr'n Comput HW	USD		-163,918.00	                          0.00	                          0.00	                      4,784.00	-168,702.00

		1710	17008000	Acc.Depr'n Comput SW	USD		-7,474.00	                          0.00	                          0.00	                        612.00	-8,086.00

		1710	17020000	Acc.Depr'n L.V.Asse.	USD		-100.00	                          0.00	                          0.00	                          0.00	-100.00

		1710	17054000	ADP-Motor(ROU)	USD		-204,711.87	                          0.00	                          0.00	                          0.00	-204,711.87

		1710	17056000	ADP-Fitting(ROU)	USD		-245,401.84	                          0.00	                          0.00	                          0.00	-245,401.84

		1710	18010000	Common Stck Invt Sub	USD		                     16,200.00	                          0.00	                          0.00	                          0.00	                     16,200.00

		1710	19110002	####	USD		                          0.00	                          0.00	                          0.00	                    200,000.00	-200,000.00

		1710	19320000	Intangible Assets	USD		                      2,000.00	                          0.00	                          0.00	                          0.00	                      2,000.00

		1710	19420000	Acc.Depr Intangibles	USD		-536.00	                          0.00	                          0.00	                         45.00	-581.00

		1710	21100000	Paybls Domestic	USD		-6,182,141.73	                          0.00	                      8,953.09	                     32,053.09	-6,205,241.73

		1710	21102000	Paybls Domestic Adj	USD		-4,250.00	                          0.00	                          0.00	                          0.00	-4,250.00

		1710	21105000	Travel exp payable	USD		-1,000.00	                          0.00	                          0.00	                          0.00	-1,000.00

		1710	21110000	GR/IR Consi/Pipeline	USD		                          0.00	                          0.00	                          0.00	                        120.00	-120.00

		1710	21120000	GR/IR	USD		-7,197,312.34	                          0.00	                     31,788.42	                    117,020.04	-7,282,543.96

		1710	21190000	Down Paymnt Custome	USD		-146.05	                          0.00	                         95.45	                         95.45	-146.05

		1710	21191000	Dpaymnt Request Cust	USD		                      2,500.00	                          0.00	                          0.00	                          0.00	                      2,500.00

		1710	21191200	Cntr Liabty DP Req	USD		-2,500.00	                          0.00	                          0.00	                          0.00	-2,500.00

		1710	21200000	Paybls Foreign	USD		-12,839.81	                          0.00	                          0.00	                          0.00	-12,839.81

		1710	21200200	Paybls Foreign 1-5	USD		                          0.00	                          0.00	                          0.00	                        666.66	-666.66

		1710	21503000	Payroll - Soc Sec	USD		                     15,150.00	                          0.00	                          0.00	                          0.00	                     15,150.00

		1710	21603000	Withholding Tax	USD		-33,178.73	                          0.00	                          0.00	                          0.00	-33,178.73

		1710	21720000	Other Paybls nra	USD		-10,690.00	                          0.00	                          0.00	                          0.00	-10,690.00

		1710	21725000	Accr.Exp.Goods/Serv.	USD		-203,064.33	                          0.00	                          0.00	                          0.00	-203,064.33

		1710	21730000	Freight Clrg MM	USD		-1,132.08	                          0.00	                         10.00	                         30.00	-1,152.08

		1710	21760000	Freight provision MM	USD		                      1,132.08	                          0.00	                          0.00	                          0.00	                      1,132.08

		1710	21900000	PR Clearing Acct	USD		-400.00	                          0.00	                          0.00	                          0.00	-400.00

		1710	22001000	Sales Tax Accrued	USD		-14,973.60	                          0.00	                          0.00	                          0.00	-14,973.60

		1710	22001010	Use Tax Accrued MW1	USD		                          0.00	                          0.00	                          0.00	                         60.00	-60.00

		1710	22002000	Sales Tax Accrued	USD		-10.00	                          0.00	                          0.00	                          0.00	-10.00

		1710	22090000	Tax Payable	USD		-50.00	                          0.00	                          0.00	                          0.00	-50.00

		1710	23000300	LL-Motor (ROU)	USD		-215,906.02	                          0.00	                          0.00	                          0.00	-215,906.02

		1710	23000500	LL-Fur. & Fixt.(ROU)	USD		-253,858.87	                          0.00	                          0.00	                          0.00	-253,858.87

		1710	24031100	Prv Pension-ledg spc	USD		                         50.00	                          0.00	                          0.00	                          0.00	                         50.00

		1710	29500100	Zero Balance Clrg	USD		                          0.00	                          0.00	                        517.98	                        517.98	                          0.00

		1710	33000000	Retained Earnings	USD		-1,405,691,656.54	                          0.00	                          0.00	                          0.00	-1,405,691,656.54

		1710	39911000	Inv Init RawMat Bal	USD		-178,388.35	                          0.00	                          0.00	                      1,700.00	-180,088.35

		1710	39912000	Inv Init SF&Fin Bal	USD		-5,526,979,922.24	                          0.00	                          0.00	                        190.00	-5,526,980,112.24

		1710	39913000	Initial FI-AM offset	USD		-134,450.00	                          0.00	                          0.00	                          0.00	-134,450.00

		1710	41000000	Rev Domestic Prod	USD		                          0.00	                          0.00	                          0.00	                          0.33	-0.33

		1710	50300000	COGS SF&F w/o CE	USD		                          0.00	                          0.00	                        150.00	                      3,120.00	-2,970.00

		1710	51100000	Consptn Raw Mat	USD		                          0.00	                          0.00	                     10,435.47	                          0.00	                     10,435.47

		1710	52011000	Loss Inv Trsf-Raw/Tr	USD		                          0.00	                          0.00	                         10.00	                          0.00	                         10.00

		1710	52041000	Loss Prc Var PRD	USD		                          0.00	                          0.00	                     50,470.30	                          0.00	                     50,470.30

		1710	52501000	Gain Inv Var-Raw/Tr	USD		                          0.00	                          0.00	                          0.00	                         19.98	-19.98

		1710	52511000	Gain Inv Trsf-Raw/Tr	USD		                          0.00	                          0.00	                          0.00	                         10.00	-10.00

		1710	52532000	Gain val'n own prd	USD		                          0.00	                          0.00	                          0.00	                        400.00	-400.00

		1710	52541000	Gain Prc Var PRD	USD		                          0.00	                          0.00	                          0.00	                     10,601.70	-10,601.70

		1710	54070000	Inv Chg Rcpt w/o PO	USD		                          0.00	                          0.00	                          0.00	                        100.00	-100.00

		1710	54400000	Inv Chg Fin Goods	USD		                          0.00	                          0.00	                        160.00	                         40.00	                        120.00

		1710	55100000	Plnt act prod.order	USD		                          0.00	                          0.00	                         20.00	                     42,197.64	-42,177.64

		1710	61003000	Trav.Expense Hotel	USD		                          0.00	                          0.00	                      1,060.00	                          0.00	                      1,060.00

		1710	61010000	Payroll Other Exp	USD		                          0.00	                          0.00	                        166.67	                          0.00	                        166.67

		1710	64001000	Dep.Exp. Buildings	USD		                          0.00	                          0.00	                         50.00	                          0.00	                         50.00

		1710	64002000	Dep.Exp. Mach.& Equ.	USD		                          0.00	                          0.00	                        366.00	                          0.00	                        366.00

		1710	64004000	Dep.Exp. Motor Veh.	USD		                          0.00	                          0.00	                      1,759.00	                          0.00	                      1,759.00

		1710	64005000	Dep.Exp. Office Equ.	USD		                          0.00	                          0.00	                         34.00	                          0.00	                         34.00

		1710	64006000	Dep.Exp. Furniture	USD		                          0.00	                          0.00	                         37.00	                          0.00	                         37.00

		1710	64007000	Dep.Exp. Comp.HD	USD		                          0.00	                          0.00	                      4,784.00	                          0.00	                      4,784.00

		1710	64008000	Dep.Exp. Comp.SW	USD		                          0.00	                          0.00	                        612.00	                          0.00	                        612.00

		1710	64021000	Dep.Exp. Intangibles	USD		                          0.00	                          0.00	                         45.00	                          0.00	                         45.00

		1710	71100000	Interest Expense	USD		                          0.00	                          0.00	                        666.66	                          0.00	                        666.66

	*	1710			USD		                          0.00	                          0.00	                 15,927,624.34	                 15,927,624.34	                          0.00
